time_s,brut_N,filtered_N,applied_N,ressenti_N
1777972637.014970,0.1196665,0.1621976,0,0
1777972637.016990,0.1362487,0.1581653,0,0
1777972637.018980,0.1807315,0.1590138,0,0
1777972637.020960,0.2280717,0.1657116,0,0
1777972637.022990,0.3381036,0.1876728,0,0
1777972637.025040,0.2918148,0.2003214,0,0
1777972637.027030,0.2046713,0.1999552,0,0
1777972637.028960,0.2063257,0.1998698,0,0
1777972637.030990,0.2607788,0.2057024,0,0
1777972637.032990,0.2712353,0.2141217,0,0
1777972637.035000,0.2752985,0.2191264,0,0
1777972637.036970,0.3506164,0.2360802,0,0
1777972637.038970,0.2759235,0.2398049,0,0
1777972637.040990,0.1912085,0.2333382,0,0
1777972637.042970,0.3156044,0.2440307,0,0
1777972637.044970,0.2927424,0.2500305,0,0
1777972637.046980,0.2146897,0.2449546,0,0
1777972637.049000,0.3238919,0.2536937,0,0
1777972637.050990,0.2279294,0.2479851,0,0
1777972637.052970,0.3213125,0.2574585,0,0
1777972637.055000,0.3101735,0.2640854,0,0
1777972637.057000,0.3275255,0.2719288,0,0
1777972637.058970,0.3143109,0.2752261,0,0
1777972637.060970,0.3909604,0.2871721,0,0
1777972637.062970,0.3272698,0.2921436,0,0
1777972637.064990,0.3155783,0.2951578,0,0
1777972637.066970,0.24313,0.2860693,0,0
1777972637.068970,0.1135888,0.2590769,0,0
1777972637.071040,0.2522596,0.2569978,0,0
1777972637.073040,0.1758507,0.2409876,0,0
1777972637.074990,0.1404751,0.2263649,0,0
1777972637.077030,0.2195996,0.2220711,0,0
1777972637.079030,0.1613013,0.2120528,0,0
1777972637.081030,0.2032432,0.2099067,0,0
1777972637.082960,0.2133669,0.2055663,0,0
1777972637.084990,0.1645629,0.1987289,0,0
1777972637.086990,0.2267962,0.1999804,0,0
1777972637.088990,0.2673053,0.2071081,0,0
1777972637.091040,0.09800069,0.1842741,0,0
1777972637.092960,0.3185894,0.2015302,0,0
1777972637.100960,0.140638,0.1913851,0,0
1777972637.102960,0.2636536,0.1965683,0,0
1777972637.104960,0.1294582,0.1826146,0,0
1777972637.106960,0.1948345,0.1816742,0,0
1777972637.108970,0.2575227,0.1893613,0,0
1777972637.110970,0.1737092,0.1824078,0,0
1777972637.112960,0.2376328,0.1894373,0,0
1777972637.114980,0.304016,0.2033351,0,0
1777972637.117000,0.2490114,0.2088311,0,0
1777972637.118960,0.1854643,0.2035549,0,0
1777972637.120970,0.08570696,0.1871825,0,0
1777972637.122960,0.02967245,0.1647256,0,0
1777972637.124990,0.01919499,0.1457208,0,0
1777972637.126960,0.158168,0.1379372,0,0
1777972637.129030,0.2834752,0.1552039,0,0
1777972637.131030,0.08062162,0.1454993,0,0
1777972637.133010,0.07721449,0.1341654,0,0
1777972637.134960,0.189124,0.1358027,0,0
1777972637.136960,0.2767589,0.1523665,0,0
1777972637.138990,0.2547058,0.1610169,0,0
1777972637.140990,0.1434002,0.1587158,0,0
1777972637.143000,0.3736512,0.1858757,0,0
1777972637.144990,0.1692632,0.182381,0,0
1777972637.146990,0.1023212,0.1692857,0,0
1777972637.149000,0.04597024,0.1528522,0,0
1777972637.150990,0.1493144,0.1398292,0,0
1777972637.152990,0.1031817,0.133534,0,0
1777972637.154950,0.2432157,0.1465372,0,0
1777972637.157000,0.1796968,0.1507486,0,0
1777972637.158970,0.1366068,0.1476328,0,0
1777972637.161000,0.1617091,0.1470126,0,0
1777972637.162980,0.1003596,0.1398753,0,0
1777972637.164990,0.1266564,0.135905,0,0
1777972637.166980,0.155586,0.1305129,0,0
1777972637.168970,0.07743699,0.1223683,0,0
1777972637.170990,0.1883985,0.1266011,0,0
1777972637.172990,0.2293362,0.1397618,0,0
1777972637.174980,0.1923169,0.1447693,0,0
1777972637.177030,0.07788239,0.1349335,0,0
