time_s,brut_N,filtered_N,applied_N,ressenti_N
1782306437.025920,0.313481,0.3429159,0,0
1782306437.028020,0.313481,0.3384981,0,0
1782306437.029960,0.4534135,0.3531053,0,0
1782306437.031950,0.3202153,0.3456687,0,0
1782306437.034020,0.3202153,0.3398955,0,0
1782306437.035950,0.2735632,0.3300904,0,0
1782306437.037970,0.3007702,0.3262295,0,0
1782306437.039950,0.359159,0.3300187,0,0
1782306437.041960,0.359159,0.3334431,0,0
1782306437.043950,0.385511,0.3396797,0,0
1782306437.045960,0.4070491,0.3460257,0,0
1782306437.047940,0.3808889,0.349218,0,0
1782306437.050010,0.3808889,0.3523434,0,0
1782306437.051950,0.4012829,0.3540832,0,0
1782306437.053950,0.3152612,0.3489332,0,0
1782306437.055920,0.310896,0.3427509,0,0
1782306437.057990,0.310896,0.3376451,0,0
1782306437.059980,0.4376385,0.3500981,0,0
1782306437.062000,0.4376385,0.3610916,0,0
1782306437.063930,0.4366744,0.3704544,0,0
1782306437.065970,0.3413324,0.3665348,0,0
1782306437.067920,0.3601498,0.3649302,0,0
1782306437.069960,0.4033112,0.3696793,0,0
1782306437.071920,0.3211884,0.3619313,0,0
1782306437.074010,0.3211884,0.3555027,0,0
1782306437.075960,0.3130959,0.3455964,0,0
1782306437.077970,0.2685258,0.333749,0,0
1782306437.079940,0.3531925,0.3340366,0,0
1782306437.081910,0.2634375,0.3239719,0,0
1782306437.083910,0.2372683,0.3123404,0,0
1782306437.085950,0.4022965,0.3238416,0,0
1782306437.087960,0.4022965,0.3339041,0,0
1782306437.089920,0.3008907,0.329321,0,0
1782306437.091910,0.3150432,0.3261316,0,0
1782306437.093950,0.3211183,0.324407,0,0
1782306437.095900,0.3338503,0.3249444,0,0
1782306437.097900,0.2888736,0.3200524,0,0
1782306437.099900,0.2271249,0.3026675,0,0
1782306437.102110,0.3377604,0.3070918,0,0
1782306437.103940,0.2829053,0.303853,0,0
1782306437.105940,0.2428083,0.2940988,0,0
1782306437.107930,0.2735701,0.2912751,0,0
1782306437.109930,0.2371447,0.2824295,0,0
1782306437.111950,0.2653514,0.2789467,0,0
1782306437.113940,0.2145405,0.2705661,0,0
1782306437.115920,0.3143524,0.2729906,0,0
1782306437.117920,0.2413735,0.264908,0,0
1782306437.119960,0.3311092,0.2734963,0,0
1782306437.121970,0.3311092,0.2809733,0,0
1782306437.123920,0.2857826,0.28062,0,0
1782306437.125920,0.2007582,0.2698041,0,0
1782306437.127980,0.3483214,0.2793612,0,0
1782306437.129960,0.3113095,0.2829374,0,0
1782306437.131940,0.2738515,0.2814273,0,0
1782306437.133930,0.2683562,0.2778433,0,0
1782306437.135960,0.229876,0.2686121,0,0
1782306437.138020,0.229876,0.2611909,0,0
1782306437.139950,0.2590599,0.2595802,0,0
1782306437.141970,0.3016791,0.264851,0,0
1782306437.143980,0.3016791,0.2694918,0,0
1782306437.145960,0.2397619,0.264322,0,0
1782306437.147960,0.2749496,0.2637095,0,0
1782306437.149950,0.2246592,0.2572679,0,0
